KEGG_ID,Name,Path
K00134,glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12],Metabolism; Carbohydrate metabolism; Glycolysis / Gluconeogenesis | Metabolism; Energy metabolism; Carbon fixation in photosynthetic organisms | Environmental Information Processing; Signal transduction; HIF-1 signaling pathway | Human Diseases; Neurodegenerative diseases; Alzheimer disease | Brite Hierarchies; Protein families: genetic information processing; Membrane trafficking | Brite Hierarchies; Protein families: signaling and cellular processes; Exosome
K00135,succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20],"Metabolism; Carbohydrate metabolism; Butanoate metabolism | Metabolism; Amino acid metabolism; Alanine, aspartate and glutamate metabolism | Metabolism; Amino acid metabolism; Lysine degradation | Metabolism; Amino acid metabolism; Tyrosine metabolism | Metabolism; Metabolism of cofactors and vitamins; Nicotinate and nicotinamide metabolism"
K00138,aldehyde dehydrogenase [EC:1.2.1.-],Metabolism; Carbohydrate metabolism; Glycolysis / Gluconeogenesis | Metabolism; Carbohydrate metabolism; Pyruvate metabolism
K00140,malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27],"Metabolism; Carbohydrate metabolism; Propanoate metabolism | Metabolism; Carbohydrate metabolism; Inositol phosphate metabolism | Metabolism; Amino acid metabolism; Valine, leucine and isoleucine degradation | Metabolism; Metabolism of other amino acids; beta-Alanine metabolism"
K00141,benzaldehyde dehydrogenase (NAD) [EC:1.2.1.28],Metabolism; Xenobiotics biodegradation and metabolism; Aminobenzoate degradation | Metabolism; Xenobiotics biodegradation and metabolism; Toluene degradation | Metabolism; Xenobiotics biodegradation and metabolism; Xylene degradation
K00142,acyl-CoA synthetase [EC:6.2.1.-],Brite Hierarchies; Protein families: metabolism; Lipid biosynthesis proteins
K00145,N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38],Metabolism; Amino acid metabolism; Arginine biosynthesis
K00146,phenylacetaldehyde dehydrogenase [EC:1.2.1.39],Metabolism; Amino acid metabolism; Phenylalanine metabolism | Metabolism; Xenobiotics biodegradation and metabolism; Styrene degradation
K00147,glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41],Metabolism; Amino acid metabolism; Arginine and proline metabolism | Metabolism; Biosynthesis of other secondary metabolites; Carbapenem biosynthesis
K00148,glutathione-independent formaldehyde dehydrogenase [EC:1.2.1.46],Metabolism; Energy metabolism; Methane metabolism | Metabolism; Xenobiotics biodegradation and metabolism; Chloroalkane and chloroalkene degradation
K00149,aldehyde dehydrogenase family 9 member A1 [EC:1.2.1.47 1.2.1.3],"Metabolism; Carbohydrate metabolism; Glycolysis / Gluconeogenesis | Metabolism; Carbohydrate metabolism; Ascorbate and aldarate metabolism | Metabolism; Carbohydrate metabolism; Pyruvate metabolism | Metabolism; Lipid metabolism; Fatty acid degradation | Metabolism; Lipid metabolism; Glycerolipid metabolism | Metabolism; Amino acid metabolism; Valine, leucine and isoleucine degradation | Metabolism; Amino acid metabolism; Lysine degradation | Metabolism; Amino acid metabolism; Arginine and proline metabolism | Metabolism; Amino acid metabolism; Histidine metabolism | Metabolism; Amino acid metabolism; Tryptophan metabolism | Metabolism; Metabolism of other amino acids; beta-Alanine metabolism"
K00151,5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase [EC:1.2.1.60],Metabolism; Amino acid metabolism; Tyrosine metabolism
K00154,coniferyl-aldehyde dehydrogenase [EC:1.2.1.68],Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers
K00161,pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1],Metabolism; Carbohydrate metabolism; Glycolysis / Gluconeogenesis | Metabolism; Carbohydrate metabolism; Citrate cycle (TCA cycle) | Metabolism; Carbohydrate metabolism; Pyruvate metabolism | Environmental Information Processing; Signal transduction; HIF-1 signaling pathway | Organismal Systems; Endocrine system; Glucagon signaling pathway | Human Diseases; Cancers: Overview; Central carbon metabolism in cancer
K00162,pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1],Metabolism; Carbohydrate metabolism; Glycolysis / Gluconeogenesis | Metabolism; Carbohydrate metabolism; Citrate cycle (TCA cycle) | Metabolism; Carbohydrate metabolism; Pyruvate metabolism | Environmental Information Processing; Signal transduction; HIF-1 signaling pathway | Organismal Systems; Endocrine system; Glucagon signaling pathway | Human Diseases; Cancers: Overview; Central carbon metabolism in cancer
K00163,pyruvate dehydrogenase E1 component [EC:1.2.4.1],Metabolism; Carbohydrate metabolism; Glycolysis / Gluconeogenesis | Metabolism; Carbohydrate metabolism; Citrate cycle (TCA cycle) | Metabolism; Carbohydrate metabolism; Pyruvate metabolism
K00164,2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2],Metabolism; Carbohydrate metabolism; Citrate cycle (TCA cycle) | Metabolism; Amino acid metabolism; Lysine degradation | Metabolism; Amino acid metabolism; Tryptophan metabolism
K00166,2-oxoisovalerate dehydrogenase E1 component alpha subunit [EC:1.2.4.4],"Metabolism; Carbohydrate metabolism; Propanoate metabolism | Metabolism; Amino acid metabolism; Valine, leucine and isoleucine degradation"
K00167,2-oxoisovalerate dehydrogenase E1 component beta subunit [EC:1.2.4.4],"Metabolism; Carbohydrate metabolism; Propanoate metabolism | Metabolism; Amino acid metabolism; Valine, leucine and isoleucine degradation"
K00208,enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10],Metabolism; Lipid metabolism; Fatty acid biosynthesis | Metabolism; Metabolism of cofactors and vitamins; Biotin metabolism | Metabolism; Biosynthesis of other secondary metabolites; Prodigiosin biosynthesis | Brite Hierarchies; Protein families: metabolism; Lipid biosynthesis proteins
K00209,enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase (NAD+) [EC:1.3.1.9 1.3.1.44],Metabolism; Carbohydrate metabolism; Butanoate metabolism | Metabolism; Lipid metabolism; Fatty acid biosynthesis | Brite Hierarchies; Protein families: metabolism; Lipid biosynthesis proteins
K00210,prephenate dehydrogenase [EC:1.3.1.12],"Metabolism; Amino acid metabolism; Phenylalanine, tyrosine and tryptophan biosynthesis | Metabolism; Biosynthesis of other secondary metabolites; Novobiocin biosynthesis"
K00215,4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8],Metabolism; Amino acid metabolism; Lysine biosynthesis | Metabolism; Biosynthesis of other secondary metabolites; Monobactam biosynthesis
K00216,"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase [EC:1.3.1.28]",Metabolism; Metabolism of terpenoids and polyketides; Biosynthesis of siderophore group nonribosomal peptides
K00218,protochlorophyllide reductase [EC:1.3.1.33],Metabolism; Metabolism of cofactors and vitamins; Porphyrin and chlorophyll metabolism
K00219,"2,4-dienoyl-CoA reductase (NADPH2) [EC:1.3.1.34]",Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers
K00227,Delta7-sterol 5-desaturase [EC:1.14.19.20],Metabolism; Lipid metabolism; Steroid biosynthesis
K00228,coproporphyrinogen III oxidase [EC:1.3.3.3],Metabolism; Metabolism of cofactors and vitamins; Porphyrin and chlorophyll metabolism
K00230,menaquinone-dependent protoporphyrinogen oxidase [EC:1.3.5.3],Metabolism; Metabolism of cofactors and vitamins; Porphyrin and chlorophyll metabolism
K00232,acyl-CoA oxidase [EC:1.3.3.6],Metabolism; Lipid metabolism; Fatty acid degradation | Metabolism; Lipid metabolism; alpha-Linolenic acid metabolism | Metabolism; Lipid metabolism; Biosynthesis of unsaturated fatty acids | Environmental Information Processing; Signal transduction; cAMP signaling pathway | Cellular Processes; Transport and catabolism; Peroxisome | Organismal Systems; Endocrine system; PPAR signaling pathway
K00235,succinate dehydrogenase (ubiquinone) iron-sulfur subunit [EC:1.3.5.1],Metabolism; Carbohydrate metabolism; Citrate cycle (TCA cycle) | Metabolism; Energy metabolism; Oxidative phosphorylation | Organismal Systems; Environmental adaptation; Thermogenesis | Human Diseases; Neurodegenerative diseases; Alzheimer disease | Human Diseases; Neurodegenerative diseases; Parkinson disease | Human Diseases; Neurodegenerative diseases; Huntington disease | Human Diseases; Endocrine and metabolic diseases; Non-alcoholic fatty liver disease (NAFLD)
K00239,"succinate dehydrogenase / fumarate reductase, flavoprotein subunit [EC:1.3.5.1 1.3.5.4]",Metabolism; Carbohydrate metabolism; Citrate cycle (TCA cycle) | Metabolism; Carbohydrate metabolism; Butanoate metabolism | Metabolism; Energy metabolism; Oxidative phosphorylation | Metabolism; Energy metabolism; Carbon fixation pathways in prokaryotes | Human Diseases; Infectious diseases: Bacterial; Legionellosis
K00240,"succinate dehydrogenase / fumarate reductase, iron-sulfur subunit [EC:1.3.5.1 1.3.5.4]",Metabolism; Carbohydrate metabolism; Citrate cycle (TCA cycle) | Metabolism; Carbohydrate metabolism; Butanoate metabolism | Metabolism; Energy metabolism; Oxidative phosphorylation | Metabolism; Energy metabolism; Carbon fixation pathways in prokaryotes
K00241,"succinate dehydrogenase / fumarate reductase, cytochrome b subunit",Metabolism; Carbohydrate metabolism; Citrate cycle (TCA cycle) | Metabolism; Carbohydrate metabolism; Butanoate metabolism | Metabolism; Energy metabolism; Oxidative phosphorylation | Metabolism; Energy metabolism; Carbon fixation pathways in prokaryotes
K00242,"succinate dehydrogenase / fumarate reductase, membrane anchor subunit",Metabolism; Carbohydrate metabolism; Citrate cycle (TCA cycle) | Metabolism; Carbohydrate metabolism; Butanoate metabolism | Metabolism; Energy metabolism; Oxidative phosphorylation | Metabolism; Energy metabolism; Carbon fixation pathways in prokaryotes
K00243,uncharacterized protein,Not Included in Pathway or Brite; Poorly characterized; Function unknown
K00244,fumarate reductase flavoprotein subunit [EC:1.3.5.4],Metabolism; Carbohydrate metabolism; Citrate cycle (TCA cycle) | Metabolism; Carbohydrate metabolism; Pyruvate metabolism | Metabolism; Carbohydrate metabolism; Butanoate metabolism | Metabolism; Energy metabolism; Oxidative phosphorylation | Metabolism; Energy metabolism; Carbon fixation pathways in prokaryotes | Environmental Information Processing; Signal transduction; Two-component system
K00245,fumarate reductase iron-sulfur subunit [EC:1.3.5.4],Metabolism; Carbohydrate metabolism; Citrate cycle (TCA cycle) | Metabolism; Carbohydrate metabolism; Pyruvate metabolism | Metabolism; Carbohydrate metabolism; Butanoate metabolism | Metabolism; Energy metabolism; Oxidative phosphorylation | Metabolism; Energy metabolism; Carbon fixation pathways in prokaryotes | Environmental Information Processing; Signal transduction; Two-component system
K00246,fumarate reductase subunit C,Metabolism; Carbohydrate metabolism; Citrate cycle (TCA cycle) | Metabolism; Carbohydrate metabolism; Pyruvate metabolism | Metabolism; Carbohydrate metabolism; Butanoate metabolism | Metabolism; Energy metabolism; Oxidative phosphorylation | Metabolism; Energy metabolism; Carbon fixation pathways in prokaryotes | Environmental Information Processing; Signal transduction; Two-component system
K00247,fumarate reductase subunit D,Metabolism; Carbohydrate metabolism; Citrate cycle (TCA cycle) | Metabolism; Carbohydrate metabolism; Pyruvate metabolism | Metabolism; Carbohydrate metabolism; Butanoate metabolism | Metabolism; Energy metabolism; Oxidative phosphorylation | Metabolism; Energy metabolism; Carbon fixation pathways in prokaryotes | Environmental Information Processing; Signal transduction; Two-component system
